Järla Orientering,6450
Tullinge SK,6250
Snättringe SK,5562
Skogsluffarnas OK,4644
Järfälla OK,3999
Sundbybergs IK,3559
Söders-Tyresö,2999
Väsby OK,2724
OK Ravinen,2653
Täby OK,2582
Tumba-Mälarhöjden OK,2516
OK Södertörn,2473
Haninge SOK,2433
OK Älvsjö-Örby,1804
Skarpnäcks OL,1743
Attunda OK,1722
Mälarö SOK,1604
IFK Lidingö SOK,1346
OK Österåker,1186
Waxholms OK,1111
IFK Enskede,900
Hellas Orientering,744
Bromma-Vällingby SOK,622
Kista SportsClub KFUM,611
Gustavsbergs OK,436
Nynäshamns OK,396
Solna OK,196
